transaction_date,rep_no,category,amount,description
2021-01-01,002,Travel,26.96,EXXON
2021-01-01,002,Travel,3,MOBIL
2021-01-05,002,Travel,33.5,MOBIL
2021-01-06,001,Travel,35.23,MOBIL
2021-01-07,002,Entertainment,7.43,MICROSOFT
2021-01-07,002,Entertainment,5,APPLE
2021-01-10,002,Entertainment,42.49,MICROSOFT
2021-01-11,002,Dining,0.43,DONUTZ
2021-01-11,002,Dining,1.21,PEETS
2021-01-14,001,Travel,39.01,MOBIL
2021-01-15,002,Dining,9.63,CHICK-FIL-A
2021-01-16,002,Dining,62.6,HOPHOUSE
2021-01-16,002,Travel,33,EXXON
2021-01-17,002,Dining,12.98,DONUTZ
2021-01-20,002,Entertainment,106.25,MICROSOFT
2021-01-21,002,Entertainment,6,MICROSOFT
2021-01-21,002,Entertainment,20,MICROSOFT
2021-01-22,002,Entertainment,10.61,MICROSOFT
2021-01-22,002,Travel,36.5,MOBIL
2021-01-24,002,Dining,14.09,DONUTZ
2021-01-28,002,Dining,14.77,PIZZA-RIA
2021-01-30,002,Dining,5.34,CHICK-FIL-A
