transaction_date,rep_no,category,amount,description
2021-11-01,002,Entertainment,10.61,APPLE
2021-11-01,001,Entertainment,199,TENNIS
2021-11-02,001,Travel,17.42,EXXON
2021-11-03,002,Dining,50.08,TASTY THAI
2021-11-04,001,Travel,59.03,MOBIL
2021-11-05,002,Dining,188.32,MORTONS
2021-11-07,002,Dining,6.9,DONUTZ
2021-11-07,002,Entertainment,7.43,MICROSOFT
2021-11-07,002,Entertainment,5.31,APPLE
2021-11-07,002,Travel,410,GOOD GARAGE
2021-11-09,002,Dining,16.05,TASTY THAI
2021-11-12,001,Travel,49.85,EXXON
2021-11-13,002,Dining,29.63,CHEESECAKE
2021-11-13,002,Travel,18,GOOD GARAGE
2021-11-14,002,Dining,13.74,DONUTZ
2021-11-14,001,Dining,49.78,TASTY THAI
2021-11-14,002,Dining,39.66,PIZZA-RIA
2021-11-14,002,Dining,109.2,HOPHOUSE
2021-11-14,002,Travel,59.02,EXXON
2021-11-17,001,Dining,56.66,TASTY THAI
2021-11-18,001,Dining,9.66,CHIPOTLE
2021-11-18,002,Entertainment,31.82,APPLE
2021-11-19,002,Dining,11.5,TASTY THAI
2021-11-19,002,Travel,61,MOBIL
2021-11-20,001,Travel,58.25,EXXON
2021-11-21,002,Travel,32.39,MOBIL
2021-11-21,002,Travel,8.6,MOBIL
2021-11-22,002,Dining,3.19,CAFEE NERO
2021-11-22,002,Entertainment,40,TENNIS
2021-11-27,002,Entertainment,36,TENNIS
2021-11-29,001,Travel,55.14,EXXON
2021-11-30,002,Dining,9.58,ACEITUNA GRILL
2021-11-30,002,Dining,19.08,PIZZA-RIA
