transaction_date,rep_no,category,amount,description
2021-09-01,002,Travel,11,GOOD GARAGE
2021-09-03,002,Dining,4.01,CAFEE NERO
2021-09-03,001,Dining,29.59,CHICK-FIL-A
2021-09-03,002,Travel,103.44,MOBIL
2021-09-04,002,Dining,10.46,CHICK-FIL-A
2021-09-04,002,Dining,13.2,HOPHOUSE
2021-09-04,002,Dining,179.55,HOPHOUSE
2021-09-05,001,Travel,50.58,MOBIL
2021-09-07,002,Dining,16.05,TASTY THAI
2021-09-07,002,Dining,91.25,BEST MEXICAN
2021-09-07,002,Entertainment,7.43,MICROSOFT
2021-09-07,002,Entertainment,5,APPLE
2021-09-07,002,Travel,2,MOBIL
2021-09-07,002,Travel,410,GOOD GARAGE
2021-09-09,002,Dining,3.44,PEETS
2021-09-14,002,Dining,16.05,TASTY THAI
2021-09-15,001,Travel,49.64,MOBIL
2021-09-16,002,Entertainment,31.82,APPLE
2021-09-17,002,Dining,15.32,BEST MEXICAN
2021-09-18,001,Dining,13.37,CHIPOTLE
2021-09-20,001,Dining,30.28,CHIPOTLE
2021-09-21,002,Dining,10.08,BEST MEXICAN
2021-09-21,002,Travel,61.27,GOOD GARAGE
2021-09-22,002,Dining,15,TASTY THAI
2021-09-22,002,Entertainment,95.88,TENNIS
2021-09-23,002,Dining,9.58,ACEITUNA GRILL
2021-09-23,002,Travel,86.12,GOOD GARAGE
2021-09-24,001,Travel,52.02,MOBIL
2021-09-26,002,Travel,35.45,EXXON
2021-09-26,002,Travel,28.67,EXXON
2021-09-28,002,Dining,16.05,TASTY THAI
2021-09-30,002,Dining,8.35,CHIPOTLE
2021-09-30,001,Entertainment,199,TENNIS
