transaction_date,rep_no,category,amount,description
2021-07-05,002,Travel,23.39,ALRIGHT AUTO
2021-07-07,002,Dining,14.16,CHICK-FIL-A
2021-07-07,002,Entertainment,7.43,MICROSOFT
2021-07-07,002,Entertainment,5.31,APPLE
2021-07-09,002,Dining,16.2,PIZZA-RIA
2021-07-09,001,Travel,128.13,ALRIGHT AUTO
2021-07-10,002,Dining,6.99,CHIPOTLE
2021-07-10,002,Entertainment,42.49,MICROSOFT
2021-07-11,002,Dining,133.75,TASTY THAI
2021-07-11,002,Travel,34,MOBIL
2021-07-11,001,Travel,53.21,EXXON
2021-07-14,002,Entertainment,223.94,TENNIS
2021-07-14,002,Travel,190.57,ALRIGHT AUTO
2021-07-15,002,Dining,27.77,PIZZA-RIA
2021-07-16,002,Dining,5.89,CAFEE NERO
2021-07-19,001,Travel,53.62,EXXON
2021-07-20,002,Entertainment,37.97,TENNIS
2021-07-20,002,Travel,20,GOOD GARAGE
2021-07-21,001,Dining,30.58,CHICK-FIL-A
2021-07-21,002,Entertainment,6,MICROSOFT
2021-07-21,002,Travel,41,MOBIL
2021-07-22,002,Dining,41.09,BEST MEXICAN
2021-07-22,002,Dining,56.11,PIZZA-RIA
2021-07-22,001,Dining,4.76,PEETS
2021-07-22,002,Travel,4.77,MOBIL
2021-07-23,002,Dining,100,CHICK-FIL-A
2021-07-23,002,Travel,1.6,GOOD GARAGE
2021-07-23,002,Travel,5,GOOD GARAGE
2021-07-24,001,Dining,25.54,CHICK-FIL-A
2021-07-24,001,Travel,45.33,MOBIL
2021-07-26,002,Dining,2.36,CHICK-FIL-A
2021-07-26,002,Travel,49.05,MOBIL
2021-07-28,002,Dining,84.21,BEST MEXICAN
2021-07-28,002,Dining,31.03,BEST MEXICAN
2021-07-28,001,Dining,27.82,BEST MEXICAN
2021-07-29,002,Dining,23.62,DONUTZ
2021-07-29,001,Dining,27.02,BEST MEXICAN
2021-07-29,002,Dining,69.8,HOPHOUSE
2021-07-30,001,Travel,49.59,EXXON
2021-07-31,002,Dining,29.03,HOPHOUSE
