transaction_date,rep_no,category,amount,description
2021-10-01,001,Dining,14.26,CHIPOTLE
2021-10-01,002,Travel,51.9,MOBIL
2021-10-04,001,Travel,51.44,MOBIL
2021-10-07,002,Entertainment,7.43,MICROSOFT
2021-10-07,002,Entertainment,5,APPLE
2021-10-07,002,Travel,410,GOOD GARAGE
2021-10-08,001,Dining,27.68,CHICK-FIL-A
2021-10-09,002,Travel,52,MOBIL
2021-10-10,002,Travel,46.01,MOBIL
2021-10-10,002,Travel,96.33,GOOD GARAGE
2021-10-12,002,Dining,16.04,TASTY THAI
2021-10-12,002,Dining,32.4,HOPHOUSE
2021-10-14,001,Travel,35,ALRIGHT AUTO
2021-10-16,002,Entertainment,31.82,APPLE
2021-10-17,002,Dining,35,BEST MEXICAN
2021-10-17,002,Travel,53,MOBIL
2021-10-19,001,Travel,53.41,EXXON
2021-10-21,002,Dining,7.33,CAFEE NERO
2021-10-23,002,Dining,187.31,TASTY THAI
2021-10-25,002,Entertainment,40,TENNIS
2021-10-26,002,Dining,19.51,PIZZA-RIA
2021-10-26,001,Travel,45.57,EXXON
2021-10-27,001,Dining,9.63,CHIPOTLE
2021-10-28,002,Dining,18,DONUTZ
2021-10-28,002,Dining,15.04,DONUTZ
2021-10-31,002,Dining,67.98,BEST MEXICAN
