transaction_date,rep_no,category,amount,description
2021-04-01,002,Dining,10.24,BEST MEXICAN
2021-04-01,002,Dining,122.5,HOPHOUSE
2021-04-02,002,Entertainment,19.99,MICROSOFT
2021-04-05,002,Dining,3,PEETS
2021-04-05,002,Travel,162.05,MOBIL
2021-04-06,001,Travel,46.21,MOBIL
2021-04-07,002,Entertainment,7.43,MICROSOFT
2021-04-07,002,Entertainment,5,APPLE
2021-04-08,002,Dining,2.94,CAFEE NERO
2021-04-08,002,Dining,0.15,PEETS
2021-04-09,001,Dining,8.44,CHICK-FIL-A
2021-04-10,002,Dining,23.62,CHIPOTLE
2021-04-10,002,Entertainment,42.49,MICROSOFT
2021-04-11,002,Dining,26.52,DONUTZ
2021-04-12,002,Dining,0.43,DONUTZ
2021-04-12,002,Dining,0.15,PEETS
2021-04-12,001,Travel,47,MOBIL
2021-04-12,002,Travel,5,MOBIL
2021-04-13,002,Dining,23.93,HOPHOUSE
2021-04-15,002,Dining,1.49,CHICK-FIL-A
2021-04-16,002,Dining,9.11,PEETS
2021-04-17,001,Dining,24.51,CHICK-FIL-A
2021-04-18,002,Dining,11.7,DONUTZ
2021-04-19,002,Entertainment,7.97,MICROSOFT
2021-04-19,001,Travel,48.24,MOBIL
2021-04-20,002,Dining,13.86,BEST MEXICAN
2021-04-21,002,Dining,78.12,HOPHOUSE
2021-04-21,002,Entertainment,6,MICROSOFT
2021-04-22,002,Dining,25.86,PIZZA-RIA
2021-04-22,002,Dining,5,PEETS
2021-04-22,002,Entertainment,10.61,MICROSOFT
2021-04-22,001,Travel,8.48,MOBIL
2021-04-22,002,Travel,34.4,MOBIL
2021-04-25,002,Travel,35.01,EXXON
2021-04-26,001,Travel,47.13,MOBIL
2021-04-26,002,Travel,43.73,ALRIGHT AUTO
2021-04-27,002,Dining,9.31,CAFEE NERO
2021-04-30,001,Dining,13.31,CHICK-FIL-A
2021-04-30,002,Dining,4.04,CHICK-FIL-A
