transaction_date,rep_no,category,amount,description
2021-03-01,001,Travel,37.96,MOBIL
2021-03-02,002,Dining,0.13,DONUTZ
2021-03-03,002,Dining,12.07,BEST MEXICAN
2021-03-03,001,Dining,7.35,CHIPOTLE
2021-03-04,002,Dining,10.59,PIZZA-RIA
2021-03-05,002,Dining,0.15,PEETS
2021-03-05,002,Travel,42.5,MOBIL
2021-03-06,002,Entertainment,7.43,MICROSOFT
2021-03-07,002,Dining,27.8,DONUTZ
2021-03-07,002,Dining,0.45,DONUTZ
2021-03-07,002,Entertainment,5,APPLE
2021-03-08,002,Dining,0.15,DONUTZ
2021-03-08,002,Dining,2.91,PEETS
2021-03-08,001,Travel,38.72,MOBIL
2021-03-09,002,Travel,111.87,MOBIL
2021-03-10,002,Dining,51.12,CHEESECAKE
2021-03-10,002,Dining,15.49,BEST MEXICAN
2021-03-10,002,Entertainment,42.49,MICROSOFT
2021-03-14,002,Entertainment,44,TENNIS
2021-03-15,002,Dining,12.28,TASTY THAI
2021-03-15,001,Travel,47.09,EXXON
2021-03-16,002,Dining,12.18,PIZZA-RIA
2021-03-18,002,Dining,43.82,CHIPOTLE
2021-03-20,002,Dining,13.25,PIZZA-RIA
2021-03-21,002,Dining,26.52,DONUTZ
2021-03-21,002,Entertainment,6,MICROSOFT
2021-03-21,002,Entertainment,10.61,MICROSOFT
2021-03-23,002,Dining,7.17,CAFEE NERO
2021-03-23,002,Dining,7.92,PEETS
2021-03-23,001,Travel,47.03,EXXON
2021-03-26,002,Dining,11.77,PIZZA-RIA
2021-03-27,001,Dining,24.53,CHIPOTLE
2021-03-27,002,Dining,58.1,DONUTZ
2021-03-27,002,Dining,30.98,BEST MEXICAN
2021-03-28,002,Dining,12.98,DONUTZ
2021-03-29,002,Dining,27.1,HOPHOUSE
2021-03-29,002,Travel,5.01,EXXON
2021-03-30,001,Dining,30,PIZZA-RIA
2021-03-30,001,Travel,47.48,MOBIL
2021-03-30,002,Travel,44.5,EXXON
2021-03-31,001,Dining,83.35,BEST MEXICAN
