transaction_date,rep_no,category,amount,description
2021-06-01,002,Dining,14.98,CAFEE NERO
2021-06-07,002,Entertainment,7.43,MICROSOFT
2021-06-07,002,Entertainment,5.31,APPLE
2021-06-07,001,Travel,50.34,MOBIL
2021-06-07,002,Travel,31,EXXON
2021-06-09,002,Dining,2.27,DONUTZ
2021-06-09,002,Dining,8.74,PEETS
2021-06-10,002,Entertainment,42.49,MICROSOFT
2021-06-12,002,Travel,30,MOBIL
2021-06-14,002,Dining,2.48,DONUTZ
2021-06-14,002,Dining,2.91,PEETS
2021-06-16,002,Dining,11.18,CHICK-FIL-A
2021-06-16,002,Entertainment,25.13,APPLE
2021-06-17,002,Travel,10.23,MOBIL
2021-06-18,001,Travel,49.09,EXXON
2021-06-19,002,Entertainment,3.99,APPLE
2021-06-20,002,Dining,6.4,CAFEE NERO
2021-06-21,002,Entertainment,6,MICROSOFT
2021-06-21,001,Travel,89,GOOD GARAGE
2021-06-24,002,Dining,17.17,HOPHOUSE
2021-06-25,002,Dining,2.77,CHICK-FIL-A
2021-06-25,001,Dining,6.84,CHICK-FIL-A
2021-06-26,002,Dining,37.39,PIZZA-RIA
2021-06-26,001,Travel,51.69,EXXON
2021-06-27,002,Travel,26.53,EXXON
2021-06-28,002,Dining,11.13,CHIPOTLE
