transaction_date,rep_no,category,amount,description
2021-08-02,002,Dining,18.59,TASTY THAI
2021-08-02,001,Entertainment,130,MICROSOFT
2021-08-03,002,Dining,4.01,CAFEE NERO
2021-08-03,002,Travel,22,GOOD GARAGE
2021-08-04,001,Dining,30.69,CHICK-FIL-A
2021-08-06,002,Dining,10.8,CHICK-FIL-A
2021-08-06,002,Travel,10.09,MOBIL
2021-08-07,002,Dining,79.8,HOPHOUSE
2021-08-07,002,Entertainment,7.43,MICROSOFT
2021-08-07,002,Entertainment,5.31,APPLE
2021-08-07,002,Travel,46,MOBIL
2021-08-07,002,Travel,47,MOBIL
2021-08-07,002,Travel,58.51,ALRIGHT AUTO
2021-08-09,002,Dining,29.05,TASTY THAI
2021-08-09,002,Travel,22,GOOD GARAGE
2021-08-10,001,Dining,13.31,CHICK-FIL-A
2021-08-10,002,Dining,12.26,BEST MEXICAN
2021-08-10,002,Entertainment,60,MICROSOFT
2021-08-10,002,Entertainment,42.49,MICROSOFT
2021-08-10,002,Travel,22,GOOD GARAGE
2021-08-11,002,Travel,22,GOOD GARAGE
2021-08-12,002,Travel,22,GOOD GARAGE
2021-08-13,002,Travel,22,GOOD GARAGE
2021-08-14,002,Travel,3.21,EXXON
2021-08-16,002,Entertainment,30.12,APPLE
2021-08-16,002,Travel,22,GOOD GARAGE
2021-08-16,001,Travel,52.53,MOBIL
2021-08-17,002,Travel,22,GOOD GARAGE
2021-08-18,002,Dining,9.58,ACEITUNA GRILL
2021-08-18,002,Dining,8.51,CHIPOTLE
2021-08-18,001,Dining,20.73,DONUTZ
2021-08-18,002,Dining,98.46,PEETS
2021-08-18,002,Travel,22,GOOD GARAGE
2021-08-19,002,Dining,90.9,BEST MEXICAN
2021-08-19,002,Travel,22,GOOD GARAGE
2021-08-20,002,Dining,35.92,CHICK-FIL-A
2021-08-20,002,Entertainment,35.5,TENNIS
2021-08-20,002,Travel,22,GOOD GARAGE
2021-08-20,002,Travel,47.5,MOBIL
2021-08-21,002,Travel,11.68,MOBIL
2021-08-23,002,Travel,22,GOOD GARAGE
2021-08-23,001,Travel,47.49,MOBIL
2021-08-24,002,Dining,2,CAFEE NERO
2021-08-24,002,Dining,16.05,TASTY THAI
2021-08-24,002,Travel,22,GOOD GARAGE
2021-08-25,001,Dining,7.39,CHIPOTLE
2021-08-25,002,Travel,22,GOOD GARAGE
2021-08-26,002,Dining,2.8,CAFEE NERO
2021-08-26,002,Travel,22,GOOD GARAGE
2021-08-27,002,Travel,22,GOOD GARAGE
2021-08-28,002,Travel,41.67,MOBIL
2021-08-30,002,Travel,22,GOOD GARAGE
2021-08-30,001,Travel,53.84,EXXON
2021-08-31,002,Dining,9.02,BEST MEXICAN
2021-08-31,001,Dining,7.37,CHICK-FIL-A
2021-08-31,002,Travel,19.85,EXXON
2021-08-31,002,Travel,30,GOOD GARAGE
2021-08-31,002,Travel,22,GOOD GARAGE
